id_cliente,nombre,ciudad,fecha_alta,mascota,email
C0069,Sofía Ruiz,La Plata,2023-11-05,Perro,sofia.ruiz.69@hotmail.com
C0070,Valentina Benítez,La Plata,2025-11-12,Perro,valentina.benitez.70@hotmail.com
C0071,Julieta Rodríguez,Los Hornos,2023-06-08,Ave,julieta.rodriguez.71@hotmail.com
C0072,Martina Herrera,City Bell,2025-06-05,Ave,martina.herrera.72@yahoo.com.ar
C0073,Valentina González,City Bell,2025-06-28,Perro,valentina.gonzalez.73@gmail.com
C0074,Valentina Rossi,City Bell,2024-11-24,Perro,valentina.rossi.74@yahoo.com.ar
C0075,Malena Rodríguez,Los Hornos,2024-06-17,Perro,malena.rodriguez.75@hotmail.com
C0076,Tomás Benítez,Ensenada,2025-11-19,Otro,tomas.benitez.76@yahoo.com.ar
C0077,Sofía López,Los Hornos,2024-08-23,Otro,sofia.lopez.77@yahoo.com.ar
C0078,Santiago Romero,Berisso,2025-04-16,Gato,
C0079,Tomás Fernández,Los Hornos,2025-05-27,Otro,tomas.fernandez.79@yahoo.com.ar
C0080,Bautista Rossi,La Plata,2026-02-09,Perro,bautista.rossi.80@hotmail.com
C0081,Tomás Rossi,City Bell,2025-09-01,Otro,tomas.rossi.81@yahoo.com.ar
C0082,Delfina Gómez,Tolosa,2023-01-26,Perro,delfina.gomez.82@outlook.com
C0083,Mateo Álvarez,Ensenada,2023-05-03,Perro,mateo.alvarez.83@yahoo.com.ar
C0084,Candela Suárez,Ensenada,2026-04-29,Gato,candela.suarez.84@hotmail.com
C0085,Bruno Rossi,City Bell,2025-03-23,Gato,bruno.rossi.85@hotmail.com
C0086,Candela Álvarez,City Bell,2025-10-18,Perro,candela.alvarez.86@hotmail.com
C0087,Sofía Rossi,City Bell,2024-07-09,Perro,sofia.rossi.87@hotmail.com
C0088,Candela Álvarez,Los Hornos,2025-10-02,Perro y gato,candela.alvarez.88@gmail.com
C0089,Mateo González,,2025-12-28,Gato,mateo.gonzalez.89@gmail.com
C0090,Martina Castro,City Bell,2026-03-02,Ave,martina.castro.90@hotmail.com
C0091,Joaquín Sánchez,City Bell,2024-03-09,Gato,joaquin.sanchez.91@hotmail.com
C0092,Bruno Rossi,La Plata,2026-06-14,Gato,bruno.rossi.92@hotmail.com
C0093,Bautista Pérez,City Bell,2024-06-19,Perro y gato,bautista.perez.93@gmail.com
C0094,Mateo Álvarez,La Plata,2026-01-26,Otro,mateo.alvarez.94@hotmail.com
C0095,Candela Rossi,Los Hornos,2023-03-06,Ave,candela.rossi.95@yahoo.com.ar
C0096,Delfina Pérez,La Plata,2025-05-30,Perro,delfina.perez.96@gmail.com
C0097,Bruno Ruiz,Ensenada,2024-02-07,Gato,bruno.ruiz.97@gmail.com
C0098,Facundo Benítez,City Bell,2026-02-12,Perro y gato,facundo.benitez.98@yahoo.com.ar
C0099,Lucía Gómez,City Bell,2025-03-02,Ave,lucia.gomez.99@hotmail.com
C0100,Candela Benítez,Los Hornos,2025-03-03,Perro,candela.benitez.100@hotmail.com
C0101,Tomás Castro,Villa Elisa,2024-11-28,Ave,tomas.castro.101@yahoo.com.ar
C0102,Mateo Fernández,Ringuelet,2026-07-19,Perro,mateo.fernandez.102@gmail.com
C0103,Facundo Díaz,Los Hornos,2026-07-03,Perro y gato,facundo.diaz.103@outlook.com
C0104,Bautista Martínez,Los Hornos,2025-05-03,Perro,bautista.martinez.104@hotmail.com
C0105,Sofía Rossi,Gonnet,2024-05-27,Otro,sofia.rossi.105@hotmail.com
C0106,Benjamín Romero,City Bell,2024-10-10,Gato,benjamin.romero.106@hotmail.com
C0107,Sofía Acosta,Villa Elisa,2026-02-28,Gato,sofia.acosta.107@outlook.com
C0108,Tomás González,La Plata,2024-04-04,Ave,tomas.gonzalez.108@outlook.com
C0109,Benjamín Acosta,Los Hornos,2023-06-22,Otro,benjamin.acosta.109@outlook.com
C0110,Franco Silva,La Plata,2023-10-09,Perro,franco.silva.110@gmail.com
C0111,Martina Gómez,City Bell,2026-01-13,Otro,martina.gomez.111@outlook.com
C0112,Franco Martínez,City Bell,2026-01-18,Gato,franco.martinez.112@outlook.com
C0113,Mateo Torres,Los Hornos,2024-05-04,Otro,mateo.torres.113@gmail.com
C0114,Julieta Herrera,,2025-01-04,Gato,julieta.herrera.114@hotmail.com
C0115,Bautista Álvarez,La Plata,2025-04-08,Perro y gato,bautista.alvarez.115@hotmail.com
C0116,Malena Benítez,La Plata,2026-04-11,Gato,malena.benitez.116@yahoo.com.ar
C0117,Delfina Benítez,La Plata,2025-03-11,Perro,delfina.benitez.117@outlook.com
C0118,Mateo Torres,Villa Elisa,2023-03-10,Perro y gato,mateo.torres.118@hotmail.com
C0119,Bruno Rodríguez,La Plata,,Perro y gato,bruno.rodriguez.119@hotmail.com
C0120,Franco López,City Bell,2026-06-24,Perro,franco.lopez.120@gmail.com
C0121,Malena Martínez,Gonnet,2025-01-10,Perro,malena.martinez.121@yahoo.com.ar
C0122,Santiago Acosta,La Plata,2026-05-30,Otro,santiago.acosta.122@outlook.com
C0123,Candela Díaz,Los Hornos,2023-07-13,Gato,candela.diaz.123@outlook.com
C0124,Bruno Ruiz,La Plata,2023-12-21,Perro,bruno.ruiz.124@hotmail.com
C0125,Franco Castro,Ensenada,2026-07-02,Perro y gato,franco.castro.125@gmail.com
C0126,Mateo López,La Plata,2026-03-27,Gato,mateo.lopez.126@yahoo.com.ar
C0127,Martina Romero,Ensenada,2025-08-31,Ave,martina.romero.127@hotmail.com
C0128,Bautista Benítez,Los Hornos,2024-07-29,Perro,bautista.benitez.128@yahoo.com.ar
C0129,Camila Romero,City Bell,2025-10-23,Ave,camila.romero.129@yahoo.com.ar
C0130,Tomás Torres,Los Hornos,2025-10-02,Perro,tomas.torres.130@outlook.com
C0131,Nicolás Silva,La Plata,2023-06-06,Gato,nicolas.silva.131@yahoo.com.ar
C0132,Benjamín Torres,La Plata,2023-07-31,Perro y gato,benjamin.torres.132@yahoo.com.ar
C0133,Tomás González,Ensenada,2025-05-04,Ave,tomas.gonzalez.133@gmail.com
C0134,Sofía Suárez,La Plata,2024-10-13,Otro,sofia.suarez.134@gmail.com
C0135,Santiago Fernández,Los Hornos,2026-04-20,Otro,santiago.fernandez.135@yahoo.com.ar
C0136,Franco Rodríguez,City Bell,2026-02-23,Perro,franco.rodriguez.136@gmail.com
C0137,Malena Romero,City Bell,2023-11-05,Otro,malena.romero.137@outlook.com
C0138,Mateo Gómez,Berisso,2026-05-04,Gato,mateo.gomez.138@hotmail.com
C0139,Camila López,La Plata,2025-09-05,Gato,camila.lopez.139@hotmail.com
C0140,Lucía Pérez,La Plata,2023-04-17,Perro y gato,lucia.perez.140@yahoo.com.ar
C0141,Malena Acosta,City Bell,2023-01-11,Perro,malena.acosta.141@hotmail.com
C0142,Mateo Suárez,Ensenada,2023-09-28,Ave,mateo.suarez.142@yahoo.com.ar
C0143,Valentina Álvarez,Los Hornos,2023-08-24,Perro,valentina.alvarez.143@hotmail.com
C0144,Camila Martínez,La Plata,2023-01-08,Gato,camila.martinez.144@gmail.com
C0145,Julieta Benítez,Berisso,2024-09-07,Perro,julieta.benitez.145@hotmail.com
C0146,Martina Fernández,Tolosa,2023-07-13,Perro,martina.fernandez.146@gmail.com
C0147,Sofía Torres,Gonnet,2024-07-28,Otro,sofia.torres.147@outlook.com
C0148,Camila Castro,City Bell,2025-09-06,Perro,camila.castro.148@outlook.com
C0149,Joaquín González,City Bell,2024-12-08,Gato,joaquin.gonzalez.149@hotmail.com
C0150,Bautista Benítez,Los Hornos,2026-03-02,Gato,bautista.benitez.150@gmail.com
C0151,Valentina Herrera,Tolosa,2024-04-25,Gato,valentina.herrera.151@yahoo.com.ar
C0152,Joaquín Rossi,Villa Elisa,2025-03-27,Perro,joaquin.rossi.152@yahoo.com.ar
C0153,Candela Torres,La Plata,2024-10-20,Otro,candela.torres.153@outlook.com
C0154,Lucía Gómez,La Plata,2025-03-15,Perro,lucia.gomez.154@gmail.com
C0155,Sofía Rossi,Ringuelet,2024-07-23,Gato,sofia.rossi.155@hotmail.com
C0156,Camila Pérez,La Plata,2024-04-09,Gato,camila.perez.156@hotmail.com
C0157,Bautista Acosta,La Plata,2024-07-30,Gato,bautista.acosta.157@gmail.com
C0158,Valentina Acosta,La Plata,2024-11-22,Perro,valentina.acosta.158@yahoo.com.ar
C0159,Lucía Torres,Los Hornos,2026-07-20,Ave,lucia.torres.159@yahoo.com.ar
C0160,Martina Silva,Los Hornos,2025-10-10,Ave,martina.silva.160@gmail.com
C0161,Mateo González,Los Hornos,2025-07-27,Perro y gato,mateo.gonzalez.161@gmail.com
C0162,Franco Suárez,La Plata,2024-06-30,Perro y gato,franco.suarez.162@yahoo.com.ar
C0163,Martina González,Los Hornos,2024-10-10,Gato,martina.gonzalez.163@yahoo.com.ar
C0164,Agustina Torres,La Plata,2023-10-03,Otro,agustina.torres.164@outlook.com
C0165,Camila Romero,La Plata,2023-09-06,Perro,camila.romero.165@gmail.com
C0166,Sofía González,Los Hornos,2023-02-07,Ave,sofia.gonzalez.166@yahoo.com.ar
C0167,Martina Herrera,City Bell,2023-11-30,Gato,martina.herrera.167@yahoo.com.ar
C0168,Camila Torres,La Plata,2025-10-17,Ave,camila.torres.168@yahoo.com.ar
C0169,Santiago Torres,Tolosa,2024-03-16,Perro,santiago.torres.169@yahoo.com.ar
C0170,Mateo Sánchez,Los Hornos,2023-12-20,Ave,mateo.sanchez.170@yahoo.com.ar
C0171,Julieta Herrera,City Bell,2024-09-20,Perro y gato,julieta.herrera.171@hotmail.com
C0172,Malena Romero,Tolosa,2025-04-05,Perro,malena.romero.172@yahoo.com.ar
C0173,Candela Ruiz,La Plata,2023-02-04,Perro y gato,candela.ruiz.173@hotmail.com
C0174,Nicolás Díaz,City Bell,2024-09-20,Perro,nicolas.diaz.174@outlook.com
C0175,Valentina Álvarez,La Plata,2025-01-05,Gato,valentina.alvarez.175@yahoo.com.ar
C0176,Bautista Rodríguez,Gonnet,2024-12-24,Perro,bautista.rodriguez.176@gmail.com
C0177,Facundo Romero,City Bell,2025-03-28,Perro,facundo.romero.177@hotmail.com
C0178,Camila Silva,,2026-05-12,Perro,camila.silva.178@gmail.com
C0179,Delfina López,Los Hornos,2023-10-30,Gato,delfina.lopez.179@hotmail.com
C0180,Santiago Rodríguez,Los Hornos,2025-06-19,Gato,santiago.rodriguez.180@gmail.com
C0181,Mateo Castro,Villa Elisa,2023-04-30,Perro,mateo.castro.181@gmail.com
C0182,Sofía Gómez,Villa Elisa,2026-04-27,Gato,sofia.gomez.182@yahoo.com.ar
C0183,Tomás Martínez,City Bell,2026-04-24,Ave,tomas.martinez.183@yahoo.com.ar
C0184,Santiago Benítez,La Plata,2025-03-18,Perro y gato,santiago.benitez.184@gmail.com
C0185,Valentina Herrera,Los Hornos,2024-07-29,Perro,valentina.herrera.185outlook.com
C0186,Benjamín Sánchez,Ensenada,2024-08-23,Ave,benjamin.sanchez.186@outlook.com
C0187,Candela Suárez,City Bell,2023-08-01,Gato,candela.suarez.187@outlook.com
C0188,Lucía Acosta,Los Hornos,2025-05-12,Ave,lucia.acosta.188@gmail.com
C0189,Camila Ruiz,La Plata,2025-06-24,Otro,camila.ruiz.189@hotmail.com
C0190,Delfina Álvarez,Los Hornos,2024-11-23,Otro,delfina.alvarez.190@outlook.com
C0191,Camila Sánchez,Los Hornos,2025-12-17,Perro,camila.sanchez.191@gmail.com
C0192,Camila Torres,La Plata,2025-03-15,Otro,camila.torres.192@gmail.com
C0193,Tomás Fernández,Los Hornos,2023-10-12,Perro,tomas.fernandez.193@hotmail.com
C0194,Valentina Rossi,Los Hornos,2023-04-10,Gato,valentina.rossi.194@gmail.com
C0195,Bautista Benítez,City Bell,2026-06-18,Gato,bautista.benitez.195@outlook.com
C0196,Bruno Castro,City Bell,2023-04-19,Perro,bruno.castro.196@gmail.com
C0197,Candela Martínez,La Plata,2023-02-11,Gato,candela.martinez.197@gmail.com
C0198,Franco Acosta,City Bell,2025-06-04,Ave,franco.acosta.198@gmail.com
C0199,Candela González,La Plata,2025-01-03,Gato,candela.gonzalez.199@gmail.com
C0200,Candela Romero,Los Hornos,2024-12-27,Perro,candela.romero.200@yahoo.com.ar
C0201,Sofía Herrera,La Plata,2026-06-19,Ave,sofia.herrera.201@gmail.com
C0202,Joaquín Díaz,City Bell,2024-12-03,Gato,joaquin.diaz.202@yahoo.com.ar
C0203,Lucía Martínez,,2024-05-30,Perro,lucia.martinez.203@outlook.com
C0204,Tomás Álvarez,Los Hornos,2024-08-15,Perro y gato,tomas.alvarez.204@outlook.com
C0205,Delfina Díaz,La Plata,2024-06-24,Gato,delfina.diaz.205@yahoo.com.ar
C0206,Facundo Díaz,La Plata,2023-07-18,Gato,facundo.diaz.206@yahoo.com.ar
C0207,Malena Díaz,Gonnet,2026-07-20,Ave,malena.diaz.207@outlook.com
C0208,Mateo Rodríguez,Tolosa,2023-07-05,Perro y gato,mateo.rodriguez.208@outlook.com
C0209,Benjamín Díaz,Villa Elisa,2025-07-01,Perro y gato,benjamin.diaz.209@gmail.com
C0210,Malena López,La Plata,2023-12-08,Gato,malena.lopez.210@gmail.com
C0211,Agustina Ruiz,Villa Elisa,2024-10-27,Gato,agustina.ruiz.211@outlook.com
C0212,Santiago Fernández,La Plata,2024-10-18,Perro,santiago.fernandez.212@hotmail.com
C0213,Candela Castro,City Bell,2026-01-05,Otro,candela.castro.213@outlook.com
C0214,Facundo Díaz,Berisso,2023-04-16,Perro,facundo.diaz.214@gmail.com
C0215,Sofía Romero,La Plata,2023-04-09,Gato,sofia.romero.215@hotmail.com
C0216,Malena Sánchez,Berisso,2024-06-04,Gato,malena.sanchez.216@gmail.com
C0217,Franco Ruiz,Los Hornos,2023-03-04,Gato,franco.ruiz.217@gmail.com
C0218,Franco Castro,Ringuelet,2025-11-28,Ave,franco.castro.218@hotmail.com
C0219,Tomás Sánchez,Los Hornos,2023-12-01,Perro y gato,tomas.sanchez.219@gmail.com
C0220,Joaquín Benítez,Los Hornos,2024-03-01,Ave,joaquin.benitez.220@yahoo.com.ar
C0221,Santiago Fernández,City Bell,2025-10-15,Perro,santiago.fernandez.221@outlook.com
C0222,Agustina Gómez,City Bell,2024-10-18,Perro y gato,agustina.gomez.222@gmail.com
C0223,Bruno González,City Bell,2024-06-02,Gato,bruno.gonzalez.223@gmail.com
C0224,Lucía Torres,Los Hornos,2025-05-01,Ave,lucia.torres.224@yahoo.com.ar
C0225,Franco Castro,Los Hornos,2024-08-03,Perro,franco.castro.225@gmail.com
C0226,Delfina Romero,La Plata,2023-09-12,Gato,delfina.romero.226@gmail.com
C0227,Bruno Torres,Los Hornos,2024-08-11,Otro,bruno.torres.227@hotmail.com
C0228,Benjamín Herrera,Los Hornos,2024-03-19,Gato,benjamin.herrera.228@outlook.com
C0229,Lucía Suárez,City Bell,2025-11-03,Perro,lucia.suarez.229@hotmail.com
C0230,Sofía Silva,Ensenada,2024-09-08,Perro,sofia.silva.230@yahoo.com.ar
C0231,Agustina López,La Plata,2025-09-25,Perro,agustina.lopez.231@hotmail.com
C0232,Facundo Álvarez,Gonnet,2026-06-27,Otro,facundo.alvarez.232@hotmail.com
C0233,Santiago López,La Plata,2025-10-07,Perro y gato,santiago.lopez.233@hotmail.com
C0234,Tomás Castro,La Plata,2025-11-02,Gato,tomas.castro.234@hotmail.com
C0235,Valentina Ruiz,Los Hornos,2024-07-29,Gato,valentina.ruiz.235@outlook.com
C0236,Martina Castro,Los Hornos,2025-11-18,Otro,martina.castro.236@gmail.com
C0237,Sofía Fernández,Berisso,2023-10-22,Perro,sofia.fernandez.237@yahoo.com.ar
C0238,Tomás Rossi,Los Hornos,2023-08-17,Otro,tomas.rossi.238@yahoo.com.ar
C0239,Malena Silva,City Bell,2023-03-08,Gato,malena.silva.239@outlook.com
C0240,Sofía Rodríguez,Berisso,2025-05-08,Otro,sofia.rodriguez.240@yahoo.com.ar
C0241,Benjamín Fernández,Los Hornos,2023-06-12,Gato,benjamin.fernandez.241@yahoo.com.ar
C0242,Tomás Fernández,La Plata,2024-02-05,Otro,tomas.fernandez.242@outlook.com
C0243,Bautista Rossi,Los Hornos,2023-01-04,Otro,bautista.rossi.243@yahoo.com.ar
C0244,Julieta Herrera,Los Hornos,2024-07-09,Gato,julieta.herrera.244@outlook.com
C0245,Agustina Ruiz,City Bell,2023-01-10,Perro,agustina.ruiz.245@hotmail.com
C0246,Mateo Álvarez,City Bell,2024-05-03,Perro,mateo.alvarez.246@hotmail.com
C0247,Franco Sánchez,Villa Elisa,2025-03-16,Ave,franco.sanchez.247@hotmail.com
C0248,Delfina Herrera,La Plata,2023-10-24,Ave,delfina.herrera.248@outlook.com
C0249,Delfina Herrera,,2026-03-21,Ave,delfina.herrera.249@gmail.com
C0250,Agustina Díaz,City Bell,2024-12-09,Perro y gato,agustina.diaz.250@outlook.com
C0251,Benjamín Herrera,Los Hornos,2023-09-22,Perro,benjamin.herrera.251@yahoo.com.ar
C0252,Candela Suárez,City Bell,2025-02-05,Otro,candela.suarez.252@yahoo.com.ar
C0253,Lucía López,Los Hornos,2024-05-21,Otro,lucia.lopez.253@outlook.com
C0254,Bautista Herrera,La Plata,2025-04-01,Perro,bautista.herrera.254@gmail.com
C0255,Delfina Rossi,La Plata,2023-04-20,Gato,delfina.rossi.255@hotmail.com
C0256,Nicolás Torres,City Bell,2025-09-25,Otro,nicolas.torres.256@hotmail.com
C0257,Facundo Martínez,La Plata,2024-09-15,Otro,facundo.martinez.257@outlook.com
C0258,Facundo Álvarez,City Bell,2026-06-10,Perro,facundo.alvarez.258@gmail.com
C0259,Valentina Ruiz,City Bell,2024-10-19,Gato,valentina.ruiz.259@outlook.com
C0260,Bruno Ruiz,Tolosa,2024-07-18,Perro,bruno.ruiz.260@outlook.com
C0261,Agustina Suárez,La Plata,2023-10-29,Perro,agustina.suarez.261@hotmail.com
C0262,Candela Ruiz,Los Hornos,2023-10-23,Perro,candela.ruiz.262@yahoo.com.ar
C0263,Joaquín Gómez,Tolosa,2024-07-04,Perro,joaquin.gomez.263@yahoo.com.ar
C0264,Joaquín Sánchez,Los Hornos,2024-08-04,Ave,joaquin.sanchez.264@outlook.com
C0265,Nicolás González,La Plata,2025-10-17,Perro,nicolas.gonzalez.265@outlook.com
C0266,Malena Díaz,City Bell,2023-04-24,Ave,malena.diaz.266@yahoo.com.ar
C0267,Delfina López,Villa Elisa,2023-09-29,Perro,delfina.lopez.267@hotmail.com
C0268,Franco Castro,La Plata,2024-04-01,Ave,franco.castro.268@outlook.com
C0269,Julieta Torres,Berisso,2023-05-30,Perro,julieta.torres.269@yahoo.com.ar
C0270,Delfina Romero,City Bell,2023-04-01,Otro,delfina.romero.270@gmail.com
C0271,Bruno Sánchez,City Bell,2024-02-09,Perro,bruno.sanchez.271@hotmail.com
C0272,Camila Pérez,La Plata,2023-10-24,Otro,camila.perez.272@gmail.com
C0273,Agustina Castro,Los Hornos,2023-02-10,Perro,agustina.castro.273@hotmail.com
C0274,Julieta Castro,La Plata,2025-11-06,Gato,julieta.castro.274@yahoo.com.ar
C0275,Bautista Torres,City Bell,2024-08-18,Perro y gato,bautista.torres.275@hotmail.com
C0276,Nicolás Herrera,Tolosa,2023-10-10,Perro y gato,nicolas.herrera.276@hotmail.com
C0277,Agustina Herrera,Los Hornos,2024-06-10,Ave,agustina.herrera.277@gmail.com
C0278,Benjamín Acosta,City Bell,2026-01-02,Gato,benjamin.acosta.278@outlook.com
C0279,Joaquín Fernández,Villa Elisa,2023-12-24,Perro,joaquin.fernandez.279@gmail.com
C0280,Mateo Castro,Ringuelet,2025-08-27,Perro,mateo.castro.280@gmail.com
C0281,Mateo Álvarez,Ensenada,2023-07-24,Perro,mateo.alvarez.281@yahoo.com.ar
C0282,Bruno Fernández,City Bell,2025-04-25,Gato,bruno.fernandez.282@gmail.com
C0283,Lucía Acosta,Ensenada,2025-08-04,Gato,lucia.acosta.283@gmail.com
C0284,Malena López,Berisso,2025-09-11,Perro,malena.lopez.284@hotmail.com
C0285,Martina Herrera,Los Hornos,2025-09-27,Perro y gato,martina.herrera.285@gmail.com
C0286,Julieta Gómez,Tolosa,2024-01-25,Perro,julieta.gomez.286@hotmail.com
C0287,Candela Martínez,La Plata,2025-11-24,Ave,candela.martinez.287@hotmail.com
C0288,Joaquín López,Ringuelet,2025-11-11,Gato,joaquin.lopez.288@gmail.com
C0289,Martina González,La Plata,2025-03-05,Gato,martina.gonzalez.289@hotmail.com
C0290,Agustina Romero,City Bell,2024-06-21,Otro,agustina.romero.290@outlook.com
C0291,Bruno Sánchez,Los Hornos,2025-07-04,Perro,bruno.sanchez.291@gmail.com
C0292,Bruno Acosta,Ensenada,2026-03-13,Gato,bruno.acosta.292@gmail.com
C0293,Facundo Torres,Ensenada,2025-07-22,Gato,facundo.torres.293@outlook.com
C0294,Mateo Fernández,City Bell,2024-04-25,Ave,mateo.fernandez.294@hotmail.com
C0295,Lucía Castro,Tolosa,2023-08-24,Perro,lucia.castro.295@gmail.com
C0296,Franco Díaz,Ringuelet,2023-11-17,Ave,franco.diaz.296@hotmail.com
C0297,Delfina González,City Bell,2025-10-25,Gato,delfina.gonzalez.297@outlook.com
