id_linea_venta,id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,descuento,sucursal,canal,medio_pago,fecha_original,fecha_invalida,fecha_fuera_rango,error_cantidad,cantidad_atipica,error_precio,error_descuento,requiere_revision,motivo_revision,producto_existe,cliente_informado,cliente_existe,estado_cliente,id_cliente_modelo,producto,categoria,subcategoria,marca,costo,precio_lista,proveedor,nombre,ciudad,fecha_alta,mascota,email
LV000011,V000005,2026-03-04,,P0006,1,50320,0.0,Ecommerce,Online,Crédito,04/03/2026,False,False,False,False,False,False,False,,True,False,False,Invitado,C_INVITADO,Pedigree Premium Gato 3 kg,Alimentos,Gato,Pedigree,30200.0,50600.0,NutriPet Sur,Cliente invitado,,,,
LV000012,V000005,2026-03-04,,P0157,1,34090,0.0,Ecommerce,Online,Transferencia,04/03/2026,False,False,False,False,False,False,False,,True,False,False,Invitado,C_INVITADO,Royal Canin Juguete Perro M,Accesorios,Perro,Royal Canin,21100.0,33900.0,EcoPet Distribuciones,Cliente invitado,,,,
LV000013,V000006,2026-07-30,C0798,P0001,1,22760,0.05,Los Hornos,Local,Crédito,30/07/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0798,Pedigree Cachorro Perro 3 kg,Alimentos,Perro,Pedigree,15300.0,23900.0,Mundo Mascota,Bruno Álvarez,Los Hornos,2025-03-15,Perro,bruno.alvarez.798@hotmail.com
LV000014,V000007,2025-08-14,C1625,P0145,1,56950,0.0,Centro,Local,Transferencia,14/08/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1625,Vitalcan Juguete Perro XS,Accesorios,Perro,Vitalcan,30200.0,57000.0,Mundo Mascota,Valentina Benítez,Los Hornos,2024-04-21,Otro,valentina.benitez.1625@outlook.com
LV000015,V000007,2025-08-14,C1625,P0013,1,53250,0.1,Centro,Local,Crédito,14/08/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1625,Excellent Cachorro Perro 10 kg,Alimentos,Perro,Excellent,,56400.0,EcoPet Distribuciones,Valentina Benítez,Los Hornos,2024-04-21,Otro,valentina.benitez.1625@outlook.com
LV000016,V000008,2025-09-08,C0918,P0049,2,60280,0.1,Centro,Local,QR,08/09/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C0918,Balanced Cachorro Perro 15 kg,Alimentos,Perro,Balanced,45700.0,63900.0,Mundo Mascota,Julieta Ruiz,City Bell,2026-07-23,Gato,julieta.ruiz.918@yahoo.com.ar
LV000017,V000008,2025-09-08,C0918,P0120,1,14750,0.0,Centro,Local,Débito,08/09/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C0918,Kongo Shampoo General 250 ml,Higiene,General,Kongo,,14500.0,Distribuidora Patitas,Julieta Ruiz,City Bell,2026-07-23,Gato,julieta.ruiz.918@yahoo.com.ar
LV000018,V000009,2025-10-30,C0957,P0144,1,35460,0.05,Centro,Local,Efectivo,30/10/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C0957,Osspret Correa General XL,Higiene,General,Osspret,27700.0,36900.0,Distribuidora Patitas,Franco Álvarez,,2024-06-18,Gato,franco.alvarez.957@gmail.com
LV000019,V000010,2026-06-06,C1902,P0044,1,19430,0.0,Centro,Local,QR,06/06/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1902,Balanced Piel sensible Gato 15 kg,Alimentos,Gato,Balanced,14400.0,18600.0,Veterinaria Central,Bruno Acosta,Los Hornos,2023-04-04,Perro y gato,bruno.acosta.1902@gmail.com
LV000020,V000010,2026-06-06,C1902,P0134,2,3850,0.1,Centro,Local,Efectivo,06/06/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1902,Purina Arena sanitaria Gato 4 kg,Higiene,Gato,Purina,3100.0,4100.0,NutriPet Sur,Bruno Acosta,Los Hornos,2023-04-04,Perro y gato,bruno.acosta.1902@gmail.com
LV000021,V000010,2026-06-06,C1902,P0080,2,24920,0.1,Centro,Local,Transferencia,06/06/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1902,Catit Piel sensible Gato 1 kg,Alimentos,Gato,Catit,14500.0,24100.0,Distribuidora Patitas,Bruno Acosta,Los Hornos,2023-04-04,Perro y gato,bruno.acosta.1902@gmail.com
LV000022,V000010,2026-06-06,C1902,P0115,1,15820,0.0,Centro,Local,Transferencia,06/06/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1902,Kongo Cepillo dental Perro 250 ml,Higiene,Perro,Kongo,11100.0,16600.0,Mayorista Animalia,Bruno Acosta,Los Hornos,2023-04-04,Perro y gato,bruno.acosta.1902@gmail.com
LV000023,V000011,2026-06-03,C0416,P0026,1,13610,0.0,Centro,Local,Efectivo,03/06/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0416,Pedigree Piel sensible Gato 3 kg,Alimentos,Gato,Pedigree,8000.0,13400.0,Pet Supply BA,Camila Gómez,City Bell,2025-10-29,Gato,camila.gomez.416@hotmail.com
LV000024,V000011,2026-06-03,C0416,P0073,2,55990,0.05,Centro,Local,Efectivo,03/06/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0416,Excellent Cachorro Perro 10 kg,Alimentos,Perro,Excellent,34500.0,58200.0,Mundo Mascota,Camila Gómez,City Bell,2025-10-29,Gato,camila.gomez.416@hotmail.com
LV000025,V000012,2026-02-28,C1112,P0025,1,30940,0.0,Ecommerce,Online,Débito,28/02/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1112,Catit Cachorro Perro 1 kg,Alimentos,Perro,Catit,21600.0,32700.0,Mundo Mascota,Bautista Benítez,La Plata,2025-04-14,Perro,bautista.benitez.1112@yahoo.com.ar
LV000026,V000013,2026-06-10,C1170,P0157,1,34870,0.05,City Bell,Local,Crédito,10/06/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1170,Royal Canin Juguete Perro M,Accesorios,Perro,Royal Canin,21100.0,33900.0,EcoPet Distribuciones,Joaquín Acosta,Ensenada,2026-07-06,Gato,joaquin.acosta.1170@outlook.com
LV000027,V000014,2025-02-08,C1835,P0193,1,29460,0.1,City Bell,Local,Efectivo,08/02/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1835,Whiskas Vitaminas Gato 30 u.,Salud,Gato,Whiskas,20300.0,27900.0,Mundo Mascota,Bautista Rossi,City Bell,2026-05-01,Ave,bautista.rossi.1835@hotmail.com
LV000028,V000014,2025-02-08,C1835,P0038,2,11260,0.0,City Bell,Local,Transferencia,08/02/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1835,Excellent Piel sensible Gato 10 kg,Alimentos,Gato,Excellent,7700.0,11900.0,NutriPet Sur,Bautista Rossi,City Bell,2026-05-01,Ave,bautista.rossi.1835@hotmail.com
LV000029,V000015,2025-11-01,C1328,P0112,2,13360,0.0,Ecommerce,Online,Transferencia,01/11/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1328,Agility Cepillo dental Perro 1 l,Higiene,Perro,Agility,7800.0,13900.0,Distribuidora Patitas,Valentina Herrera,Los Hornos,2023-04-18,Perro,valentina.herrera.1328@outlook.com
LV000030,V000015,2025-11-01,C1328,P0002,1,7000,0.0,Ecommerce,Online,Débito,01/11/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1328,"König Piel sensible Gato 7,5 kg",Alimentos,Gato,König,4500.0,7400.0,Pet Supply BA,Valentina Herrera,Los Hornos,2023-04-18,Perro,valentina.herrera.1328@outlook.com
LV000031,V000015,2025-11-01,C1328,P0030,1,20330,0.0,Ecommerce,Online,Mercado Pago,01/11/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1328,Catit Premium Gato 1 kg,Alimentos,Gato,Catit,16700.0,21700.0,NutriPet Sur,Valentina Herrera,Los Hornos,2023-04-18,Perro,valentina.herrera.1328@outlook.com
LV000032,V000015,2025-11-01,C1328,P0124,1,4260,0.0,Ecommerce,Online,Mercado Pago,01/11/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1328,Purina Cepillo dental Perro 4 kg,Higiene,Perro,Purina,3000.0,4000.0,Veterinaria Central,Valentina Herrera,Los Hornos,2023-04-18,Perro,valentina.herrera.1328@outlook.com
LV000033,V000016,2026-08-22,C1056,P0131,3,13040,0.05,Centro,Local,Crédito,22/08/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1056,Eukanuba Arena sanitaria Gato 500 ml,Higiene,Gato,Eukanuba,8200.0,12700.0,Mayorista Animalia,Malena González,Ringuelet,2026-01-13,Otro,malena.gonzalez.1056@hotmail.com
LV000034,V000016,2026-08-22,C1056,P0019,1,12380,0.05,Centro,Local,Transferencia,22/08/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1056,Balanced Cachorro Perro 15 kg,Alimentos,Perro,Balanced,7700.0,12900.0,Mayorista Animalia,Malena González,Ringuelet,2026-01-13,Otro,malena.gonzalez.1056@hotmail.com
LV000035,V000016,2026-08-22,C1056,P0144,1,39460,0.0,Centro,Local,QR,22/08/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1056,Osspret Correa General XL,Higiene,General,Osspret,27700.0,36900.0,Distribuidora Patitas,Malena González,Ringuelet,2026-01-13,Otro,malena.gonzalez.1056@hotmail.com
LV000036,V000016,2026-08-22,C1056,P0001,1,22530,0.0,Centro,Local,Efectivo,22/08/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1056,Pedigree Cachorro Perro 3 kg,Alimentos,Perro,Pedigree,15300.0,23900.0,Mundo Mascota,Malena González,Ringuelet,2026-01-13,Otro,malena.gonzalez.1056@hotmail.com
LV000037,V000017,2025-08-21,C1252,P0024,1,17210,0.0,City Bell,Local,Crédito,21/08/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1252,Balanced Premium Gato 15 kg,Alimentos,Gato,Balanced,11200.0,18300.0,Distribuidora Patitas,Julieta Romero,Ringuelet,2023-01-22,Ave,julieta.romero.1252@hotmail.com
LV000038,V000018,2025-03-12,C0249,P0005,1,22600,0.0,Centro,Local,Transferencia,12/03/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C0249,Catit Piel sensible Perro 1 kg,Alimentos,Perro,Catit,13600.0,22300.0,EcoPet Distribuciones,Delfina Herrera,,2026-03-21,Ave,delfina.herrera.249@gmail.com
LV000039,V000018,2025-03-12,C0249,P0185,1,19100,0.1,Centro,Local,QR,12/03/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C0249,Vitalcan Pipeta Gato Pequeño,Salud,Gato,Vitalcan,14100.0,19600.0,Mundo Mascota,Delfina Herrera,,2026-03-21,Ave,delfina.herrera.249@gmail.com
LV000040,V000018,2025-03-12,C0249,P0067,1,56560,0.0,Centro,Local,QR,12/03/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C0249,"König Cachorro Perro 7,5 kg",Alimentos,Perro,König,46000.0,60500.0,Mayorista Animalia,Delfina Herrera,,2026-03-21,Ave,delfina.herrera.249@gmail.com
LV000041,V000019,2025-10-18,C1505,P0002,1,7750,0.0,Ecommerce,Online,Mercado Pago,18/10/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1505,"König Piel sensible Gato 7,5 kg",Alimentos,Gato,König,4500.0,7400.0,Pet Supply BA,Candela González,La Plata,2026-03-14,Gato,candela.gonzalez.1505@yahoo.com.ar
LV000042,V000019,2025-10-18,C1505,P0001,2,22250,0.0,Ecommerce,Online,Mercado Pago,18/10/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1505,Pedigree Cachorro Perro 3 kg,Alimentos,Perro,Pedigree,15300.0,23900.0,Mundo Mascota,Candela González,La Plata,2026-03-14,Gato,candela.gonzalez.1505@yahoo.com.ar
LV000043,V000019,2025-10-18,C1505,P0045,1,61800,0.0,Ecommerce,Online,Débito,18/10/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1505,Catit Premium Perro 1 kg,Alimentos,Perro,Catit,39700.0,59100.0,EcoPet Distribuciones,Candela González,La Plata,2026-03-14,Gato,candela.gonzalez.1505@yahoo.com.ar
LV000044,V000020,2026-08-28,C1884,P0196,4,24660,0.05,Ecommerce,Online,Mercado Pago,28/08/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1884,Nutribon Vitaminas Perro Mediano,Salud,Perro,Nutribon,15400.0,25000.0,Veterinaria Central,Malena Castro,City Bell,2025-04-28,Gato,malena.castro.1884@outlook.com
LV000045,V000020,2026-08-28,C1884,P0145,1,54600,0.1,Ecommerce,Online,Mercado Pago,28/08/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1884,Vitalcan Juguete Perro XS,Accesorios,Perro,Vitalcan,30200.0,57000.0,Mundo Mascota,Malena Castro,City Bell,2025-04-28,Gato,malena.castro.1884@outlook.com
LV000047,V000021,2026-02-01,C1494,P0137,3,44320,0.0,Centro,Local,Débito,01/02/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1494,Royal Canin Juguete Gato M,Accesorios,Gato,Royal Canin,30800.0,46800.0,Mundo Mascota,Martina Gómez,La Plata,2026-06-25,Gato,martina.gomez.1494@outlook.com
LV000048,V000021,2026-02-01,C1494,P0144,2,35640,0.0,Centro,Local,Crédito,01/02/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1494,Osspret Correa General XL,Higiene,General,Osspret,27700.0,36900.0,Distribuidora Patitas,Martina Gómez,La Plata,2026-06-25,Gato,martina.gomez.1494@outlook.com
LV000049,V000021,2026-02-01,C1494,P0159,1,58370,0.05,Centro,Local,Débito,01/02/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C1494,Osspret Juguete General XL,Accesorios,General,Osspret,47800.0,62000.0,Accesorios Huella,Martina Gómez,La Plata,2026-06-25,Gato,martina.gomez.1494@outlook.com
LV000050,V000022,2025-01-23,C1609,P0082,1,4470,0.1,Los Hornos,Local,Débito,23/01/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1609,König Galletas Gato 500 g,Snacks,Gato,König,3100.0,4500.0,Pet Supply BA,Tomás Martínez,Los Hornos,2023-11-17,Perro,tomas.martinez.1609@hotmail.com
LV000051,V000022,2025-01-23,C1609,P0074,1,28170,0.05,Los Hornos,Local,Efectivo,23/01/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1609,Balanced Piel sensible Gato 15 kg,Alimentos,Gato,Balanced,21500.0,29100.0,Pet Supply BA,Tomás Martínez,Los Hornos,2023-11-17,Perro,tomas.martinez.1609@hotmail.com
LV000052,V000022,2025-01-23,C1609,P0019,1,13680,0.0,Los Hornos,Local,Transferencia,23/01/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1609,Balanced Cachorro Perro 15 kg,Alimentos,Perro,Balanced,7700.0,12900.0,Mayorista Animalia,Tomás Martínez,Los Hornos,2023-11-17,Perro,tomas.martinez.1609@hotmail.com
LV000053,V000023,2026-06-18,C0058,P0033,1,50080,0.0,City Bell,Local,Débito,18/06/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0058,Excellent Premium Perro 10 kg,Alimentos,Perro,Excellent,34900.0,49800.0,Mundo Mascota,Bruno Castro,Gonnet,2025-10-28,Gato,bruno.castro.58@hotmail.com
LV000054,V000023,2026-06-18,C0058,P0138,1,4870,0.0,City Bell,Local,Crédito,18/06/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0058,Whiskas Correa General L,Accesorios,General,Whiskas,2900.0,5100.0,Pet Supply BA,Bruno Castro,Gonnet,2025-10-28,Gato,bruno.castro.58@hotmail.com
LV000055,V000024,2025-03-25,C1662,P0023,4,54700,0.0,Centro,Local,Crédito,25/03/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1662,Excellent Piel sensible Perro 10 kg,Alimentos,Perro,Excellent,54578.0,53400.0,Accesorios Huella,Santiago Pérez,La Plata,2024-05-06,Ave,santiago.perez.1662@yahoo.com.ar
LV000056,V000025,2025-08-20,C1026,P0039,2,64010,0.0,Ecommerce,Online,Transferencia,20/08/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1026,Balanced Premium Perro 15 kg,Alimentos,Perro,Balanced,40600.0,65600.0,Accesorios Huella,Facundo Torres,Villa Elisa,2024-02-17,Gato,facundo.torres.1026@yahoo.com.ar
LV000057,V000025,2025-08-20,C1026,P0003,1,25090,0.0,Ecommerce,Online,Crédito,20/08/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1026,Excellent Premium Perro 10 kg,Alimentos,Perro,Excellent,13800.0,25300.0,Mayorista Animalia,Facundo Torres,Villa Elisa,2024-02-17,Gato,facundo.torres.1026@yahoo.com.ar
LV000058,V000025,2025-08-20,C1026,P0046,1,38530,0.0,Ecommerce,Online,Crédito,20/08/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1026,Pedigree Cachorro Gato 3 kg,Alimentos,Gato,Pedigree,29500.0,39500.0,NutriPet Sur,Facundo Torres,Villa Elisa,2024-02-17,Gato,facundo.torres.1026@yahoo.com.ar
LV000059,V000025,2025-08-20,C1026,P0029,1,43400,0.0,Ecommerce,Online,Transferencia,20/08/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1026,Balanced Piel sensible Perro 15 kg,Alimentos,Perro,Balanced,22400.0,40900.0,EcoPet Distribuciones,Facundo Torres,Villa Elisa,2024-02-17,Gato,facundo.torres.1026@yahoo.com.ar
LV000060,V000026,2025-06-09,C1700,P0038,3,12620,0.0,Los Hornos,Local,Efectivo,09/06/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1700,Excellent Piel sensible Gato 10 kg,Alimentos,Gato,Excellent,7700.0,11900.0,NutriPet Sur,Delfina Díaz,,2023-03-06,Perro,delfina.diaz.1700@gmail.com
LV000061,V000026,2025-06-09,C1700,P0087,4,4690,0.0,Los Hornos,Local,Transferencia,09/06/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1700,König Tiras Perro 150 g,Snacks,Perro,König,3000.0,4500.0,Accesorios Huella,Delfina Díaz,,2023-03-06,Perro,delfina.diaz.1700@gmail.com
LV000062,V000026,2025-06-09,C1700,P0084,1,4730,0.0,Los Hornos,Local,QR,09/06/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1700,Balanced Tiras Gato 500 g,Snacks,Gato,Balanced,3300.0,4900.0,Veterinaria Central,Delfina Díaz,,2023-03-06,Perro,delfina.diaz.1700@gmail.com
LV000063,V000027,2025-10-19,,P0040,1,19390,0.1,Los Hornos,Local,Crédito,19/10/2025,False,False,False,False,False,False,False,,True,False,False,Invitado,C_INVITADO,Catit Cachorro Gato 1 kg,Alimentos,Gato,Catit,11400.0,20500.0,Distribuidora Patitas,Cliente invitado,,,,
LV000064,V000027,2025-10-19,,P0020,1,50870,0.0,Los Hornos,Local,Débito,19/10/2025,False,False,False,False,False,False,False,,True,False,False,Invitado,C_INVITADO,Catit Piel sensible Gato 1 kg,Alimentos,Gato,Catit,37200.0,48400.0,Veterinaria Central,Cliente invitado,,,,
LV000065,V000028,2025-08-31,C1947,P0110,1,15000,0.1,City Bell,Local,QR,31/08/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1947,Kongo Arena sanitaria Gato 250 ml,Higiene,Gato,Kongo,12300.0,16000.0,,Camila Torres,City Bell,2025-11-20,Ave,camila.torres.1947@yahoo.com.ar
LV000066,V000028,2025-08-31,C1947,P0095,1,8190,0.05,City Bell,Local,Efectivo,31/08/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1947,Catit Mix entrenamiento Perro 150 g,Snacks,Perro,Catit,4500.0,7900.0,Accesorios Huella,Camila Torres,City Bell,2025-11-20,Ave,camila.torres.1947@yahoo.com.ar
LV000067,V000028,2025-08-31,C1947,P0002,1,6940,0.0,City Bell,Local,QR,31/08/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1947,"König Piel sensible Gato 7,5 kg",Alimentos,Gato,König,4500.0,7400.0,Pet Supply BA,Camila Torres,City Bell,2025-11-20,Ave,camila.torres.1947@yahoo.com.ar
LV000068,V000029,2026-03-24,C0558,P0144,1,36820,0.0,Centro,Local,Efectivo,24/03/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0558,Osspret Correa General XL,Higiene,General,Osspret,27700.0,36900.0,Distribuidora Patitas,Facundo Gómez,Los Hornos,2023-10-27,Gato,facundo.gomez.558@outlook.com
LV000069,V000029,2026-03-24,C0558,P0118,1,11140,0.0,Centro,Local,Crédito,24/03/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0558,Dogit Cepillo dental Perro 2 kg,Higiene,Perro,Dogit,8400.0,11300.0,NutriPet Sur,Facundo Gómez,Los Hornos,2023-10-27,Gato,facundo.gomez.558@outlook.com
LV000070,V000029,2026-03-24,C0558,P0026,1,13330,0.0,Centro,Local,Crédito,24/03/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0558,Pedigree Piel sensible Gato 3 kg,Alimentos,Gato,Pedigree,8000.0,13400.0,Pet Supply BA,Facundo Gómez,Los Hornos,2023-10-27,Gato,facundo.gomez.558@outlook.com
LV000071,V000029,2026-03-24,C0558,P0075,2,39650,0.2,Centro,Local,Crédito,24/03/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0558,Catit Premium Perro 1 kg,Alimentos,Perro,Catit,29900.0,42600.0,Mayorista Animalia,Facundo Gómez,Los Hornos,2023-10-27,Gato,facundo.gomez.558@outlook.com
LV000072,V000030,2026-05-17,C0733,P0103,1,2550,0.05,Centro,Local,Transferencia,17/05/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0733,Excellent Galletas Perro 150 g,Snacks,Perro,Excellent,1900.0,2700.0,Accesorios Huella,Nicolás Torres,La Plata,2025-08-28,Perro,nicolas.torres.733@gmail.com
LV000073,V000031,2025-01-08,C1121,P0022,2,6080,0.05,City Bell,Local,QR,08/01/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1121,"König Cachorro Gato 7,5 kg",Alimentos,Gato,König,4500.0,6500.0,NutriPet Sur,Bruno Benítez,Los Hornos,2026-04-09,Gato,bruno.benitez.1121@yahoo.com.ar
LV000074,V000031,2025-01-08,C1121,P0128,1,12860,0.0,City Bell,Local,Crédito,08/01/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C1121,Dogit Arena sanitaria Gato 2 kg,Higiene,Gato,Dogit,8200.0,13200.0,Distribuidora Patitas,Bruno Benítez,Los Hornos,2026-04-09,Gato,bruno.benitez.1121@yahoo.com.ar
LV000075,V000032,2025-01-15,C0472,P0070,2,63010,0.0,Ecommerce,Online,Crédito,15/01/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C0472,Catit Cachorro Gato 1 kg,Alimentos,Gato,Catit,34300.0,60400.0,NutriPet Sur,Bautista Martínez,La Plata,2026-02-03,Perro,bautista.martinez.472@hotmail.com
LV000076,V000032,2025-01-15,C0472,P0098,1,7020,0.0,Ecommerce,Online,Mercado Pago,15/01/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C0472,Excellent Mix entrenamiento Gato 500 g,Snacks,Gato,Excellent,3800.0,6900.0,Pet Supply BA,Bautista Martínez,La Plata,2026-02-03,Perro,bautista.martinez.472@hotmail.com
LV000077,V000032,2025-01-15,C0472,P0152,1,59140,0.05,Ecommerce,Online,Mercado Pago,15/01/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C0472,Royal Canin Correa Gato M,Accesorios,Gato,Royal Canin,36500.0,55900.0,Distribuidora Patitas,Bautista Martínez,La Plata,2026-02-03,Perro,bautista.martinez.472@hotmail.com
LV000078,V000033,2025-07-19,,P0118,1,10550,0.15,Ecommerce,Online,Débito,19/07/2025,False,False,False,False,False,False,False,,True,False,False,Invitado,C_INVITADO,Dogit Cepillo dental Perro 2 kg,Higiene,Perro,Dogit,8400.0,11300.0,NutriPet Sur,Cliente invitado,,,,
